Income,Debt,Payment_History,Late_Payments,Credit_Utilization,Credit_Inquiries,Credit_History_Years,Creditworthy
128082,7085,76,0,0.32,0,10,1
37274,37304,17,7,0.67,8,9,0
116358,18327,87,0,0.29,0,23,1
128025,2353,80,1,0.26,2,17,1
84057,2447,83,1,0.29,1,21,1
96732,18575,79,0,0.35,1,6,1
35660,26588,44,9,0.64,8,7,0
53593,38660,56,6,0.54,4,3,0
94602,17294,92,0,0.11,2,18,1
50013,29455,50,7,0.5,8,0,0
120316,3368,77,1,0.22,1,16,1
57696,31105,8,5,0.65,5,8,0
58640,2948,87,1,0.22,1,5,1
64334,7644,72,1,0.1,1,22,1
93642,18602,94,1,0.36,0,19,1
93088,19564,98,1,0.24,0,14,1
88367,19100,72,1,0.38,2,21,1
102389,1058,95,0,0.24,1,12,1
114016,14465,90,1,0.2,2,10,1
126534,15295,92,0,0.25,1,19,1
85699,14567,92,1,0.33,1,17,1
120482,2907,72,1,0.34,0,18,1
68025,43024,38,3,0.78,5,0,0
129309,18412,95,0,0.33,2,13,1
50645,17299,94,0,0.37,0,6,1
148408,3047,91,1,0.35,2,11,1
128131,2969,79,1,0.3,1,5,1
24008,15496,55,6,0.94,7,9,0
87346,10127,93,1,0.3,1,13,1
39285,33047,25,8,0.8,4,6,0
56256,11380,70,0,0.16,2,18,1
74031,11006,92,1,0.34,1,9,1
117863,9004,89,1,0.29,2,20,1
143348,14799,78,0,0.36,1,13,1
140022,16588,86,1,0.33,2,6,1
123805,3831,88,1,0.38,1,10,1
79757,2868,71,0,0.32,2,12,1
144543,11401,95,0,0.38,0,16,1
69169,17163,70,0,0.18,1,13,1
131050,12128,98,0,0.37,0,14,1
82991,7297,85,0,0.27,0,23,1
140221,17575,77,0,0.17,1,11,1
33407,48305,22,7,0.55,7,5,0
95406,15889,78,0,0.21,0,23,1
59074,7406,85,1,0.12,2,12,1
81781,14652,85,0,0.12,1,22,1
142263,5018,76,0,0.23,2,11,1
102960,6246,70,0,0.17,1,15,1
67153,1780,90,1,0.32,1,15,1
77192,2062,82,0,0.25,2,18,1
116235,1190,98,0,0.16,0,7,1
98438,2998,95,0,0.14,0,10,1
105318,1814,95,1,0.28,1,17,1
138635,12873,80,1,0.14,0,10,1
51313,8847,84,0,0.31,1,5,1
67043,11225,94,1,0.33,1,10,1
41274,49416,4,9,0.81,8,2,0
139647,1920,94,0,0.29,1,9,1
42149,16031,32,5,0.56,4,6,0
86674,13413,90,1,0.35,0,7,1
50203,15557,10,8,0.87,6,6,0
92880,5841,71,0,0.28,0,9,1
146952,6580,84,0,0.24,1,16,1
60747,35243,52,9,0.66,6,6,0
112894,2867,79,0,0.14,1,24,1
95687,2363,98,1,0.38,2,23,1
48054,36076,10,9,0.79,4,9,0
108283,17923,77,1,0.16,0,15,1
141012,15828,90,0,0.34,0,8,1
115629,3987,85,1,0.15,2,17,1
53268,18646,11,6,0.68,4,8,0
111646,11390,97,1,0.25,2,21,1
38676,39760,31,8,0.93,4,5,0
68466,30321,38,4,0.54,4,8,0
139116,16166,79,0,0.39,1,14,1
65540,3908,78,1,0.11,2,21,1
98901,2682,94,0,0.4,0,10,1
145567,17805,83,0,0.17,2,7,1
132768,11748,71,0,0.38,2,14,1
65708,32682,6,3,0.81,9,7,0
67633,18014,90,0,0.15,0,19,1
73383,5249,75,0,0.14,0,23,1
46598,29639,2,7,0.58,7,1,0
62041,3433,75,0,0.34,2,10,1
130758,2300,91,1,0.17,0,19,1
105077,15478,90,0,0.33,0,18,1
139791,9235,98,0,0.15,0,10,1
131942,19844,99,0,0.27,0,9,1
114503,2772,78,0,0.23,2,23,1
82924,9926,73,1,0.25,2,15,1
67771,13880,79,1,0.25,1,21,1
144049,3956,83,0,0.29,2,21,1
126162,2993,75,0,0.18,2,18,1
139745,4981,71,1,0.36,1,10,1
100568,12045,92,0,0.34,0,14,1
111382,6077,94,0,0.17,1,15,1
64135,32357,43,9,0.78,7,6,0
48391,39187,22,9,0.89,8,2,0
113772,2462,86,1,0.29,1,23,1
137318,9400,70,0,0.11,0,19,1
58927,15437,95,0,0.28,1,18,1
109470,15914,92,0,0.14,0,13,1
116262,4760,84,1,0.31,1,8,1
55409,10670,80,0,0.36,1,17,1
137904,2770,87,1,0.12,1,20,1
62087,18508,95,1,0.22,1,7,1
95896,15226,75,1,0.36,2,24,1
53880,11686,89,0,0.12,0,16,1
100612,4636,74,1,0.35,0,18,1
60267,2062,94,0,0.16,1,16,1
52788,44805,29,4,0.58,7,7,0
126441,14353,96,0,0.11,2,23,1
66531,13089,83,1,0.2,2,23,1
42409,20113,35,4,0.78,5,9,0
72164,3827,87,1,0.36,1,24,1
149564,8701,94,1,0.31,2,13,1
38298,29340,12,3,0.51,9,4,0
62984,1271,93,1,0.4,1,11,1
31109,49214,32,3,0.87,9,8,0
69216,19378,84,1,0.28,2,21,1
63986,30608,57,4,0.62,7,0,0
72958,7697,99,1,0.27,1,23,1
27273,25033,15,8,0.88,8,9,0
41676,34814,37,3,0.68,8,3,0
66984,14012,78,1,0.33,2,13,1
95679,9847,71,0,0.24,2,16,1
26060,42584,37,7,0.82,6,9,0
117568,2252,75,0,0.32,1,18,1
66597,19960,29,8,0.63,5,2,0
99002,6014,99,0,0.28,2,19,1
56533,8211,77,1,0.22,0,22,1
122409,6675,71,1,0.37,1,20,1
69410,39882,14,9,0.63,5,5,0
55690,17513,6,4,0.71,9,6,0
59200,2229,81,1,0.22,1,15,1
106997,4867,94,1,0.17,1,12,1
83734,17691,96,0,0.22,1,21,1
67087,9133,78,0,0.22,0,13,1
91574,19103,84,1,0.12,0,16,1
55668,15427,87,1,0.25,2,17,1
50215,8299,73,0,0.2,2,5,1
106548,8797,99,0,0.2,1,16,1
122274,16913,78,0,0.21,1,6,1
57856,6401,74,1,0.32,0,15,1
118619,14711,81,1,0.34,1,17,1
108031,14830,82,1,0.36,1,11,1
141404,9792,98,1,0.19,1,8,1
132821,15380,70,0,0.39,0,11,1
26047,43767,27,9,0.59,8,7,0
120211,10082,87,1,0.21,0,6,1
60785,7691,94,1,0.31,2,10,1
83998,10076,99,1,0.2,2,16,1
106979,17220,91,0,0.35,1,14,1
22913,40765,36,7,0.65,5,5,0
58998,3722,86,1,0.21,1,9,1
50126,9795,95,0,0.23,0,18,1
80373,11386,73,1,0.1,1,5,1
95254,8328,95,0,0.24,2,7,1
138422,12580,73,0,0.31,1,18,1
50136,18413,88,0,0.25,1,13,1
98688,14752,86,1,0.33,1,10,1
26038,47031,21,4,0.91,8,8,0
35701,29859,54,8,0.56,5,4,0
69552,11808,97,1,0.28,2,5,1
74354,13418,87,0,0.1,2,10,1
40133,37870,48,6,0.77,4,5,0
137593,4124,96,1,0.26,1,19,1
79118,3113,94,1,0.24,0,14,1
128859,2353,85,1,0.22,0,12,1
84409,17855,98,0,0.19,2,18,1
42024,32376,1,5,0.77,5,8,0
123319,12473,94,0,0.11,2,16,1
104400,11102,90,0,0.32,1,8,1
27741,19694,34,9,0.92,7,7,0
67438,16747,86,0,0.39,1,7,1
61552,24797,50,9,0.58,9,7,0
116458,8957,79,0,0.33,2,8,1
68230,46958,31,6,0.69,7,1,0
61886,35617,48,8,0.54,4,4,0
85454,1233,86,0,0.16,0,11,1
130404,10765,89,0,0.31,2,11,1
113064,8186,92,0,0.16,1,10,1
70079,4452,88,1,0.29,1,6,1
120553,17370,74,0,0.24,0,14,1
110957,3749,74,0,0.18,2,18,1
29677,39074,32,8,0.69,8,4,0
56724,21057,3,7,0.64,4,8,0
57213,12455,77,0,0.3,1,11,1
62875,39059,29,4,0.59,7,0,0
54763,11828,74,1,0.31,2,9,1
77564,8697,75,0,0.18,0,20,1
44016,46098,42,3,0.56,7,6,0
144774,8011,90,1,0.29,1,8,1
149612,17770,89,1,0.34,1,16,1
90172,1954,71,1,0.36,1,16,1
115441,9162,72,0,0.32,1,12,1
61792,29674,53,7,0.67,5,8,0
34110,20958,8,7,0.85,6,0,0
98849,1421,74,1,0.23,2,15,1
59752,11592,73,0,0.35,1,9,1
143422,2700,92,0,0.32,2,20,1
64433,26314,8,7,0.77,8,3,0
133231,9579,87,1,0.11,2,15,1
35222,27363,29,6,0.61,4,9,0
144851,4676,96,0,0.23,2,21,1
67772,6450,70,1,0.19,2,19,1
122573,10499,72,0,0.36,1,23,1
67207,4431,70,1,0.33,0,16,1
52177,15590,19,3,0.81,8,9,0
87080,2324,73,1,0.21,2,23,1
96975,12969,91,0,0.3,0,8,1
33942,42278,16,7,0.89,9,6,0
65924,36509,20,5,0.62,7,8,0
51605,6622,85,1,0.36,1,13,1
135643,1363,92,1,0.26,1,21,1
76028,15033,95,0,0.15,0,10,1
118931,1845,82,0,0.29,0,7,1
47738,18925,15,4,0.95,6,5,0
80408,9837,88,1,0.23,2,20,1
59032,44892,37,4,0.6,4,3,0
86368,7783,80,0,0.24,2,11,1
83885,12601,82,0,0.11,0,20,1
129134,15287,83,0,0.3,0,6,1
124531,16166,74,1,0.2,1,22,1
60146,33073,36,5,0.54,8,2,0
20824,28880,33,9,0.93,7,2,0
63066,44693,4,8,0.78,5,2,0
148843,11974,92,1,0.16,0,21,1
134117,15191,92,0,0.24,1,7,1
92431,1941,89,1,0.3,0,7,1
79300,11749,73,1,0.2,1,12,1
41395,31738,7,4,0.87,5,8,0
113353,17654,72,0,0.24,2,12,1
141962,8099,88,1,0.16,0,8,1
65696,19799,99,1,0.31,0,22,1
28253,40208,23,9,0.69,9,2,0
27838,27243,35,8,0.81,4,2,0
59322,42167,19,4,0.65,8,2,0
97456,8233,84,1,0.13,1,18,1
50279,29404,6,9,0.6,9,4,0
141922,17608,89,0,0.26,0,18,1
131554,18740,83,0,0.22,2,16,1
69033,11805,81,0,0.1,0,6,1
145872,6684,88,1,0.17,0,8,1
124520,9286,83,0,0.28,1,18,1
79483,8265,81,0,0.14,2,17,1
29617,24732,18,4,0.8,4,4,0
67342,47544,37,3,0.52,6,0,0
76270,6197,71,0,0.34,0,24,1
51893,14753,80,0,0.17,2,10,1
114952,7795,78,1,0.26,2,8,1
46926,43783,32,5,0.74,4,4,0
66815,32946,41,7,0.81,7,8,0
51770,26226,7,7,0.58,5,1,0
95246,8533,78,1,0.18,2,9,1
24098,22619,35,5,0.74,4,6,0
61437,6336,80,1,0.17,0,11,1
114977,5406,75,0,0.34,2,9,1
149524,14163,84,1,0.39,2,20,1
122240,4713,97,0,0.12,0,12,1
43482,18676,29,4,0.74,5,4,0
76382,12139,97,0,0.22,2,13,1
56587,44410,16,6,0.66,9,5,0
69816,18072,89,1,0.36,2,12,1
74300,9529,84,0,0.28,0,17,1
21667,43152,13,6,0.51,6,9,0
56645,6232,87,1,0.27,2,8,1
101831,1504,91,1,0.16,2,13,1
146055,10174,89,1,0.26,0,9,1
63629,3430,76,0,0.37,1,7,1
80984,10173,92,1,0.26,2,14,1
30584,29780,17,8,0.75,8,6,0
101628,5603,99,0,0.28,1,23,1
135679,3103,83,0,0.25,2,11,1
121626,7082,96,1,0.28,0,11,1
59290,6599,86,0,0.24,2,13,1
137902,6798,97,1,0.17,2,21,1
46562,39373,25,7,0.76,7,9,0
97362,13977,93,1,0.26,1,16,1
135216,19324,94,0,0.27,0,16,1
26762,39709,19,5,0.65,6,4,0
117468,12486,99,0,0.15,0,12,1
106549,2735,87,0,0.26,0,7,1
60136,16971,1,4,0.57,9,7,0
69094,25529,47,6,0.84,4,8,0
89462,18136,75,1,0.38,1,22,1
127960,19852,79,1,0.21,1,15,1
89809,19444,77,1,0.13,2,9,1
52356,18809,43,6,0.82,8,2,0
92965,9016,73,1,0.22,0,7,1
53020,9987,74,0,0.36,0,23,1
126533,1721,86,1,0.4,1,18,1
140895,18937,72,0,0.32,1,16,1
43804,44802,27,3,0.94,5,3,0
108095,14749,87,0,0.34,1,11,1
68133,15939,83,0,0.38,1,21,1
135957,5895,70,0,0.35,1,24,1
30129,15510,12,6,0.8,8,6,0
61563,15051,84,0,0.33,1,18,1
51242,9539,77,1,0.26,2,21,1
69780,38546,55,5,0.74,5,7,0
71959,6530,78,1,0.17,2,14,1
26765,38171,55,7,0.9,4,7,0
79932,7901,71,1,0.19,0,10,1
51269,8868,81,1,0.2,2,10,1
88890,1481,78,1,0.24,0,13,1
61240,1040,73,0,0.37,1,13,1
111250,17673,94,0,0.26,2,17,1
121792,1228,80,0,0.34,0,19,1
72884,18199,76,0,0.3,2,7,1
136156,10959,77,0,0.35,0,5,1
121291,11825,75,1,0.14,2,11,1
44509,20703,37,6,0.84,8,4,0
51468,1808,81,1,0.32,2,6,1
69527,32993,10,9,0.51,7,2,0
57008,16523,83,1,0.12,0,7,1
117969,6311,97,0,0.29,1,16,1
97098,11131,74,0,0.13,2,20,1
138877,18150,95,0,0.2,2,14,1
72785,14392,78,1,0.26,2,5,1
59686,15109,89,1,0.27,1,8,1
85773,2899,92,1,0.28,2,9,1
92520,18338,71,1,0.18,1,12,1
70431,8320,77,0,0.29,1,23,1
85063,2696,87,1,0.26,2,18,1
136206,4738,75,1,0.15,2,17,1
56295,13183,89,0,0.38,1,12,1
111215,17661,78,0,0.17,2,14,1
143623,1988,90,0,0.23,2,24,1
101448,8164,75,1,0.11,1,6,1
131494,12689,89,0,0.13,2,10,1
39642,46262,27,6,0.56,9,6,0
60148,17228,36,9,0.61,6,7,0
146907,9106,88,0,0.26,0,20,1
21403,32810,23,7,0.79,6,5,0
20036,43412,59,6,0.87,8,7,0
41534,40459,38,9,0.75,8,7,0
85740,12705,86,1,0.33,2,8,1
143410,10215,95,1,0.24,0,18,1
107784,8421,94,1,0.18,2,22,1
74519,12413,89,1,0.12,1,21,1
30720,26720,12,4,0.62,8,2,0
96037,10346,81,1,0.26,0,5,1
66835,18266,94,0,0.12,1,7,1
43437,34585,7,9,0.65,9,4,0
146007,1690,83,1,0.23,0,10,1
125361,3926,78,0,0.36,0,23,1
78333,17117,76,1,0.28,1,8,1
133624,7924,80,0,0.31,1,8,1
106805,9787,72,0,0.21,1,16,1
59587,9791,71,1,0.28,2,11,1
132999,9419,86,0,0.39,1,20,1
94078,14296,99,1,0.39,0,16,1
116842,7776,89,0,0.36,2,10,1
66984,15060,79,0,0.3,2,12,1
70447,18908,94,0,0.32,2,24,1
83783,2384,91,1,0.18,1,20,1
22108,44369,30,5,0.54,4,2,0
98136,18337,81,0,0.13,2,18,1
62319,36143,43,7,0.89,9,5,0
63967,42801,47,3,0.94,4,7,0
61406,20594,28,7,0.55,6,7,0
28621,25547,9,8,0.76,6,9,0
69394,33268,23,3,0.86,7,7,0
69643,7199,72,1,0.35,0,20,1
88714,17377,94,1,0.38,1,24,1
25745,36448,15,6,0.8,4,6,0
30190,42690,50,8,0.92,8,3,0
52892,6812,83,1,0.35,2,11,1
83757,13476,73,1,0.27,0,14,1
106862,11766,94,0,0.32,2,6,1
68595,15158,77,1,0.19,0,8,1
36484,19646,33,3,0.69,4,1,0
71839,19945,87,1,0.23,2,22,1
80841,16990,76,0,0.18,2,22,1
133042,18955,87,0,0.33,2,9,1
104384,19237,86,1,0.39,1,11,1
45362,15148,26,4,0.54,5,7,0
135992,14324,87,0,0.35,2,6,1
49986,29690,3,3,0.63,7,5,0
137922,14403,71,1,0.23,2,23,1
64955,12281,99,1,0.26,1,21,1
128612,17524,91,0,0.13,0,8,1
69942,12669,73,0,0.29,1,22,1
136664,19257,93,0,0.24,0,15,1
123969,11233,78,1,0.13,2,11,1
70666,19291,79,1,0.29,0,20,1
88523,18718,90,1,0.32,2,24,1
96659,8340,97,1,0.39,0,18,1
83828,19711,98,0,0.27,2,7,1
38013,36446,58,4,0.88,9,5,0
88765,3048,88,0,0.28,1,5,1
122930,15056,98,1,0.36,1,14,1
64266,7654,78,0,0.32,2,23,1
81598,15414,88,0,0.3,1,6,1
95028,10130,97,1,0.39,2,18,1
53706,23176,57,9,0.77,4,6,0
109840,6577,72,1,0.25,2,21,1
102347,2404,74,0,0.2,2,18,1
69629,23953,6,6,0.64,7,6,0
31982,23655,23,9,0.75,9,8,0
34706,20974,11,3,0.62,7,5,0
113115,2316,79,0,0.21,2,13,1
84832,8009,97,1,0.26,2,20,1
93937,5188,85,0,0.13,0,11,1
55165,27674,22,5,0.76,7,7,0
146664,2401,97,1,0.3,2,20,1
62853,34659,18,4,0.54,4,8,0
51988,16441,95,1,0.23,2,21,1
61586,18463,80,0,0.18,1,10,1
92907,18303,97,0,0.25,2,23,1
75596,11255,76,0,0.37,0,16,1
133613,9311,88,1,0.32,1,9,1
53232,4758,83,1,0.32,0,13,1
73960,1823,70,1,0.23,1,16,1
57485,14680,99,1,0.26,2,10,1
70337,17001,78,0,0.17,1,5,1
139126,16229,72,1,0.18,2,5,1
128040,7910,87,1,0.34,2,12,1
111192,16965,95,1,0.27,0,9,1
111108,8866,99,1,0.2,0,12,1
128543,19157,99,1,0.22,2,18,1
60706,44048,21,4,0.67,4,8,0
51252,7996,83,1,0.34,2,10,1
140272,6699,70,1,0.2,2,7,1
138869,7882,88,0,0.13,2,9,1
85435,14409,72,0,0.26,1,16,1
128069,8343,76,0,0.19,1,7,1
83840,1215,91,1,0.26,2,13,1
76646,6881,79,1,0.29,1,24,1
67992,41666,7,7,0.77,7,2,0
45854,25715,37,3,0.75,9,5,0
149608,18685,80,1,0.4,1,17,1
92533,2828,99,0,0.38,0,15,1
79863,14058,92,0,0.24,2,22,1
89876,10141,73,1,0.22,2,6,1
63046,3590,77,0,0.39,2,10,1
116234,8186,86,1,0.1,0,23,1
59110,28665,34,4,0.87,6,3,0
42465,36868,12,5,0.75,6,0,0
74968,1630,74,1,0.4,1,15,1
26869,43082,0,7,0.7,9,8,0
80699,15923,86,1,0.2,2,21,1
120835,13997,90,1,0.19,0,15,1
65251,1526,94,1,0.14,0,16,1
99678,11088,88,1,0.15,1,12,1
32076,39783,17,7,0.73,4,5,0
145761,16449,90,0,0.38,0,17,1
145310,17160,94,0,0.38,0,15,1
59337,14659,73,1,0.22,1,9,1
33117,26231,55,9,0.91,9,7,0
137225,15330,97,0,0.13,0,16,1
107089,14660,70,1,0.28,2,12,1
58415,14550,86,0,0.28,2,21,1
96738,6661,83,0,0.23,0,12,1
77350,17281,79,1,0.2,2,13,1
69648,46688,58,7,0.76,9,7,0
137458,13388,90,1,0.19,2,21,1
110430,2515,92,0,0.35,0,23,1
36997,47599,30,7,0.83,6,4,0
22274,33854,7,5,0.73,8,7,0
43416,37115,50,4,0.85,5,5,0
120021,9901,96,1,0.29,0,18,1
121091,1067,98,1,0.39,1,16,1
145804,9329,87,0,0.11,0,17,1
100192,15859,91,0,0.27,0,22,1
43017,16756,5,3,0.85,9,3,0
75963,4453,89,1,0.11,0,23,1
100468,18580,85,1,0.17,1,8,1
133807,4266,96,0,0.39,0,23,1
56163,48971,3,8,0.68,8,4,0
62391,5172,75,1,0.35,2,5,1
101027,2763,78,1,0.17,2,6,1
40874,23378,16,6,0.94,5,4,0
65520,36770,30,5,0.69,9,4,0
126539,14843,94,1,0.15,0,18,1
52811,15243,88,1,0.25,2,24,1
37360,47813,41,9,0.85,6,6,0
63907,15347,37,3,0.86,9,6,0
93355,1771,91,1,0.25,1,16,1
143065,15079,96,1,0.27,2,9,1
45198,37488,51,6,0.91,9,3,0
30745,45020,54,5,0.58,8,0,0
65795,1860,84,0,0.33,0,11,1
138222,18064,73,0,0.31,0,6,1
127511,19974,80,0,0.25,1,10,1
76639,18205,75,0,0.25,1,17,1
94527,10190,73,1,0.19,2,15,1
58335,5491,94,1,0.3,0,20,1
141428,7833,71,0,0.29,0,16,1
113344,3850,89,0,0.21,2,15,1
51510,43000,7,6,0.61,5,4,0
118143,6930,71,0,0.37,1,20,1
102999,4575,81,0,0.21,0,20,1
62381,16780,59,5,0.55,8,8,0
88931,6264,85,0,0.26,1,10,1
22083,32140,46,3,0.54,7,4,0
27396,22338,30,7,0.9,5,2,0
100669,13485,71,0,0.23,0,6,1
37718,31705,2,9,0.58,5,2,0
62336,12939,90,0,0.37,2,11,1
103632,1055,98,1,0.21,0,11,1
97926,13763,86,0,0.4,1,7,1
94435,5529,85,0,0.28,2,19,1
137675,4602,76,1,0.21,0,6,1
70955,13370,83,1,0.13,0,24,1
116617,17896,84,1,0.17,1,20,1
141024,18027,80,1,0.12,0,11,1
78549,17246,71,0,0.24,0,21,1
71754,4972,85,1,0.26,0,20,1
143709,7943,88,0,0.19,2,19,1
85371,13046,83,1,0.35,1,7,1
118056,4081,90,1,0.34,2,6,1
68356,16789,28,4,0.79,4,5,0
78930,3096,95,0,0.13,2,6,1
66099,24945,14,5,0.92,8,2,0
23770,19001,48,6,0.54,8,0,0
22970,47779,6,3,0.71,5,1,0
131335,4641,98,1,0.1,2,11,1
139475,2021,75,1,0.26,1,22,1
50193,3007,71,0,0.32,0,12,1
81379,8124,87,0,0.32,2,16,1
99153,7368,70,0,0.21,0,17,1
118876,8876,94,1,0.15,2,22,1
85525,19284,88,0,0.12,2,18,1
112532,4332,89,0,0.3,1,17,1
71045,19278,99,0,0.34,1,11,1
27971,46269,15,6,0.86,7,0,0
88098,5655,91,0,0.15,1,17,1
149291,4321,74,1,0.36,1,17,1
69276,6534,75,0,0.34,2,15,1
51912,47161,35,8,0.5,5,3,0
109238,8129,87,0,0.29,1,16,1
73065,3895,97,0,0.35,2,21,1
99847,13306,87,1,0.4,2,11,1
93919,17567,81,0,0.15,1,17,1
50788,48071,11,6,0.51,4,4,0
107608,10145,82,1,0.12,2,9,1
95397,14233,75,0,0.32,2,12,1
61308,12477,96,1,0.37,0,13,1
125432,11976,70,0,0.36,2,16,1
98225,18478,81,1,0.17,1,10,1
134880,11391,99,1,0.17,2,19,1
59921,3191,78,1,0.18,0,17,1
51849,3642,70,0,0.14,1,15,1
82152,15635,81,1,0.34,0,13,1
132368,7019,77,0,0.22,1,6,1
62226,14440,99,0,0.35,0,18,1
20694,30588,21,3,0.73,7,0,0
78270,14279,85,1,0.37,0,13,1
111078,11754,95,1,0.31,2,11,1
80009,13662,78,0,0.3,1,14,1
106563,12989,95,0,0.18,1,17,1
78742,12831,78,1,0.38,2,14,1
61360,11313,88,0,0.3,2,16,1
55052,32973,9,3,0.94,4,1,0
33411,24180,57,4,0.53,9,1,0
38657,18629,2,7,0.8,9,1,0
46355,26324,53,5,0.95,9,0,0
44561,33033,55,4,0.69,9,4,0
113230,1212,96,0,0.4,1,23,1
37140,27961,3,7,0.56,4,8,0
30355,48305,52,7,0.7,8,9,0
79283,4083,82,1,0.2,2,21,1
79709,13661,82,1,0.25,0,23,1
105069,14584,86,1,0.25,0,17,1
90927,3073,96,1,0.26,1,14,1
101033,13488,79,1,0.34,2,6,1
63703,11218,79,1,0.25,0,10,1
130764,17034,84,0,0.29,1,22,1
65482,15209,55,6,0.76,4,4,0
120313,16338,97,0,0.26,0,16,1
91427,15043,80,1,0.1,1,21,1
74398,18987,80,0,0.22,1,15,1
103634,15894,82,0,0.14,0,24,1
42703,23640,15,4,0.8,4,2,0
135549,6919,84,1,0.38,1,19,1
121185,18480,70,1,0.25,0,23,1
70131,11433,77,0,0.25,1,18,1
47794,22919,24,9,0.88,4,8,0
91424,12234,86,1,0.29,0,24,1
109792,13485,73,1,0.34,2,19,1
121558,13569,95,1,0.2,2,12,1
53159,5530,79,0,0.33,2,10,1
129788,5603,96,0,0.22,0,24,1
69963,41398,42,7,0.56,5,0,0
94014,14790,96,1,0.28,0,10,1
51533,27931,15,7,0.58,7,2,0
32561,25447,32,7,0.84,5,8,0
54262,40595,55,9,0.62,6,5,0
101759,9385,77,1,0.24,2,12,1
105168,13342,76,0,0.21,1,23,1
89390,7093,86,0,0.16,1,18,1
79855,8158,78,0,0.2,2,24,1
53262,2445,93,1,0.15,2,7,1
65485,12714,82,0,0.22,1,24,1
29290,49818,43,8,0.88,6,1,0
85031,11161,89,1,0.34,0,17,1
103473,2813,93,0,0.29,0,14,1
87563,2646,84,0,0.22,0,13,1
28998,28697,42,9,0.71,8,1,0
139080,1687,91,0,0.18,0,12,1
99833,15670,98,1,0.29,0,21,1
49119,30025,41,9,0.85,6,8,0
61476,25857,21,7,0.52,8,0,0
74045,19108,92,1,0.33,1,15,1
142822,7610,88,0,0.33,1,6,1
144346,10718,95,1,0.35,1,19,1
139474,2636,86,1,0.11,0,6,1
62879,2030,85,0,0.26,1,16,1
72369,16160,92,0,0.23,0,12,1
27292,40409,38,3,0.58,5,9,0
54897,7001,79,1,0.11,0,22,1
143501,3079,99,0,0.29,0,20,1
24136,26161,1,9,0.73,8,8,0
55796,15450,97,1,0.11,2,6,1
72301,6141,72,0,0.39,2,20,1
27933,24436,5,4,0.74,8,2,0
106827,15643,76,1,0.3,2,11,1
76086,17859,74,0,0.3,0,18,1
68557,7568,79,1,0.35,1,20,1
143627,19827,93,0,0.31,2,17,1
60763,4908,91,1,0.22,2,9,1
75675,19287,84,0,0.38,0,21,1
105798,5298,98,1,0.13,0,9,1
83665,10277,86,0,0.1,1,19,1
141357,6084,91,1,0.15,1,8,1
75832,11160,72,0,0.2,0,23,1
38095,16439,46,8,0.8,9,6,0
37675,43064,55,9,0.59,8,9,0
73723,1719,80,1,0.39,1,14,1
62856,16509,21,7,0.82,6,4,0
26475,46555,46,3,0.5,8,6,0
54017,42742,48,3,0.92,9,6,0
79424,10216,71,1,0.18,1,6,1
55424,15086,73,1,0.11,2,20,1
64390,7099,89,1,0.13,0,20,1
111877,11357,72,0,0.19,0,16,1
22768,48979,7,8,0.56,4,9,0
92998,7297,77,0,0.23,2,14,1
67194,7841,86,1,0.34,1,15,1
54886,5619,77,0,0.23,0,9,1
138603,13271,72,1,0.4,2,12,1
138721,1918,91,0,0.11,1,8,1
53491,1706,91,0,0.12,0,22,1
77862,6190,93,0,0.39,2,13,1
56903,23711,39,3,0.64,7,8,0
39797,47535,28,3,0.75,4,7,0
145345,2784,92,0,0.35,2,18,1
30411,36695,12,3,0.71,9,6,0
81728,18576,79,1,0.18,0,22,1
61410,15519,75,1,0.35,2,9,1
107021,17691,94,0,0.17,1,24,1
108557,18543,80,1,0.13,1,11,1
70049,11181,87,0,0.17,0,7,1
70358,4267,95,0,0.2,2,8,1
31929,49937,59,9,0.67,4,9,0
135436,14635,72,0,0.12,0,12,1
50162,2974,97,1,0.17,1,14,1
84911,10503,93,1,0.35,0,18,1
139254,3911,95,0,0.22,2,7,1
41353,30250,7,9,0.74,8,4,0
41605,21722,9,3,0.87,4,8,0
117853,4621,81,0,0.35,2,6,1
61889,12254,88,0,0.1,0,21,1
82217,9308,99,0,0.23,0,5,1
136799,16599,87,1,0.22,2,21,1
135058,10095,77,0,0.16,2,8,1
42821,19695,10,3,0.54,7,2,0
43457,36423,22,8,0.71,7,8,0
135112,4178,74,0,0.3,0,21,1
80306,17646,97,1,0.35,0,24,1
47387,19090,14,4,0.64,8,4,0
116025,12748,90,1,0.33,1,17,1
37905,37058,56,6,0.8,5,7,0
63013,32064,35,5,0.75,4,0,0
128518,18308,93,1,0.26,1,14,1
43555,41616,51,8,0.52,6,9,0
63255,5567,85,1,0.38,2,13,1
118247,5853,91,0,0.25,1,8,1
81186,18551,84,1,0.13,1,20,1
100952,6463,74,0,0.29,0,23,1
100626,5460,96,0,0.27,0,17,1
125504,3462,90,1,0.38,1,9,1
69528,48740,53,7,0.86,6,4,0
69177,16806,50,6,0.83,8,2,0
113627,18888,82,1,0.37,2,16,1
82658,7852,88,0,0.16,1,12,1
60024,11932,82,1,0.26,1,5,1
106063,3253,84,0,0.1,2,7,1
21973,48038,0,4,0.75,5,5,0
54138,3424,78,1,0.31,0,12,1
69963,5164,71,1,0.25,0,15,1
83380,15203,85,0,0.19,1,10,1
41793,27262,40,7,0.87,7,2,0
85398,4161,71,1,0.34,1,21,1
78230,8162,72,1,0.26,2,20,1
